code,name,verdict,match_basis,db_id,db_name,matched_name
4005,"Quả cà chua, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4005_raw,Cà chua,Cà chua
4006,"Quả cà pháo, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4006_raw,Cà pháo,Cà pháo
4007,"Củ cà rốt, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4007_raw,"Cà rốt (củ đỏ, vàng)","Cà rốt (củ đỏ, vàng)"
4007002,"Cà rốt (củ đỏ, vàng), luộc",keep-no-match,none,,,
4008,"Củ cà rốt, khô",duplicate-vietnamese,code-lineage,fao_vn_2007_4008_raw,Cà rốt khô,Cà rốt khô
4009,"Quả cà tím, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4009_raw,Cà tím,Cà tím
4009002,"Cà tím, luộc",keep-usda-only,name,usda_11783_cooked,"Cà tím, luộc chín, để ráo nước, thêm muối.",cà tím luộc
4010,"Cải bắp trắng, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4010_raw,Cải bắp,Cải bắp
4010002,"Cải bắp, luộc",keep-usda-only,name,usda_11751_cooked,"Bắp cải thường, luộc chín, để ráo nước, thêm muối.",bắp cải luộc
4011,"Cải bắp đỏ, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4011_raw,Cải bắp đỏ,Cải bắp đỏ
4011002,"Cải bắp đỏ, luộc",keep-usda-only,name,usda_11113_cooked,"Bắp cải đỏ, luộc chín, để ráo nước, không thêm muối.",bắp cải đỏ luộc
4012,"Cải bắp trắng, khô",duplicate-vietnamese,code-lineage,fao_vn_2007_4012_raw,Cải bắp khô,Cải bắp khô
4013,"Cải cúc, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4013_raw,Cải cúc,Cải cúc
4014,"Cải soong, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4014_raw,Cải soong,Cải soong
4015,"Cải thìa (cải trắng), tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4015_raw,Cải thìa (cải trắng),Cải thìa (cải trắng)
4015002,"Cải thìa (cải trắng), luộc",keep-no-match,none,,,
4016,"Cải xanh, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4016_raw,Cải xanh,Cải xanh
